File_Name,LOC:LATITUDE,LOC:LONGITUDE,LOC:Event Number,LOC:STATION,LOC:WATER DEPTH,ADM:MISSION,ADM:AGENCY,ADM:COUNTRY,ADM:Project,ADM:SCIENTIST,ADM:PLATFORM,FIL:TIME INCREMENT,FIL:DATA DESCRIPTION,FIL:FILE TYPE,INS:MODEL,INS:SERIAL NUMBER,INS:DATA DESCRIPTION,INS:INSTRUMENT TYPE,COM:
2024-017-0001,49  30.1560 N  ! (deg min),126  17.5620 W  ! (deg min),1,Sydney head,77,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,232531_20240206_1745.rsk
2024-017-0002,49  29.2560 N  ! (deg min),126  17.0940 W  ! (deg min),2,Sydney 1,106,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0003,49  28.2180 N  ! (deg min),126  16.5180 W  ! (deg min),3,Sydney 2,126,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0004,49  26.2500 N  ! (deg min),126  15.5580 W  ! (deg min),4,Sydney 3,70,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0005,49  25.6020 N  ! (deg min),126  14.6040 W  ! (deg min),5,Sydney 4,63,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0007,49  23.9760 N  ! (deg min),126  14.6160 W  ! (deg min),7,Sydney shelter confluence ,61,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0008,49  23.9100 N  ! (deg min),126  12.9360 W  ! (deg min),8,Shelter mouth ,66,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0009,49  23.3640 N  ! (deg min),126  11.1420 W  ! (deg min),9,Shelter 6,74,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0010,49  23.6340 N  ! (deg min),126  9.7440 W  ! (deg min),10,Shelter 5,91,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0011,49  24.0360 N  ! (deg min),126  8.1840 W  ! (deg min),11,Shelter Millar confluence ,120,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0012,49  24.7980 N  ! (deg min),126  7.7940 W  ! (deg min),12,Shelter 4,164,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0013,49  25.4280 N  ! (deg min),126  6.4740 W  ! (deg min),13,Shelter 3,149,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0014,49  25.5060 N  ! (deg min),126  5.0880 W  ! (deg min),14,Shelter 2,147,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0015,49  25.6620 N  ! (deg min),126  3.2520 W  ! (deg min),15,Shelter 1,122,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0016,49  26.3940 N  ! (deg min),126  2.7600 W  ! (deg min),16,Shelter head ,89,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
2024-017-0017,49  22.8120 N  ! (deg min),126  5.1300 W  ! (deg min),17,Millar Channel North ,148,2024-017,IOS,Canada,Clayoquot Weather Station Network - ACRDP,Cooper G.,Doug Anderson,0 0 0 0.125 0  ! (day hr min sec ms),CTD,ASCII,Maestro,232531,CTD,RBR CTD,
